date,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,Day_of_Week,Month,month,day_of_week,is_weekend,quarter,usage_cpu_lag1,usage_cpu_lag3,usage_cpu_lag7,cpu_roll_mean_7,cpu_roll_max_7,cpu_roll_min_7,cpu_roll_mean_30,cpu_roll_max_30,cpu_roll_min_30,cpu_total,cpu_utilization,storage_allocated,storage_efficiency,weather_index,power_outage_flag,price_change,region_EAST US,region_NORTH EUROPE,region_SOUTHEAST ASIA,region_WEST US,resource_type_Container,resource_type_Storage,resource_type_VM,Region,ResourceType
01-01-2023,88,1959,470,104.97,0.99,1,6,1,1,6,1,1,88,88,88,88,88,88,88,88,88,99,0.888888889,1994,0.982447342,2,0,0.016137061,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,East US,VM
01-01-2023,92,1595,388,104.97,0.99,1,6,1,1,6,1,1,88,88,88,92,92,92,92,92,92,99,0.929292929,1992,0.800702811,0,0,-0.031480443,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,East US,Storage
01-01-2023,70,621,414,104.97,0.99,1,6,1,1,6,1,1,88,88,88,70,70,70,70,70,70,99,0.707070707,1995,0.311278195,2,0,-0.032589066,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,East US,Container
01-01-2023,60,1982,287,104.97,0.99,1,6,1,1,6,1,1,88,88,88,60,60,60,60,60,60,99,0.606060606,1994,0.993981946,2,0,-0.040160435,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,West US,VM
01-01-2023,85,1371,351,104.97,0.99,1,6,1,1,6,1,1,88,88,88,85,85,85,85,85,85,99,0.858585859,1992,0.688253012,0,0,0.016030272,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,West US,Storage
01-01-2023,52,1832,457,104.97,0.99,1,6,1,1,6,1,1,88,88,88,52,52,52,52,52,52,99,0.525252525,1995,0.918295739,0,0,0.026437266,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,West US,Container
01-01-2023,73,1937,493,104.97,0.99,1,6,1,1,6,1,1,88,88,88,73,73,73,73,73,73,99,0.737373737,1994,0.971414243,2,0,-0.023495357,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,North Europe,VM
01-01-2023,51,1715,476,104.97,0.99,1,6,1,1,6,1,1,88,88,88,51,51,51,51,51,51,99,0.515151515,1992,0.860943775,1,0,-0.047905504,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,North Europe,Storage
01-01-2023,82,959,221,104.97,0.99,1,6,1,1,6,1,1,88,88,88,82,82,82,82,82,82,99,0.828282828,1995,0.480701754,2,0,-0.041782833,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Europe,Container
01-01-2023,93,1356,248,104.97,0.99,1,6,1,1,6,1,1,88,88,88,93,93,93,93,93,93,99,0.939393939,1994,0.68004012,2,0,0.046786003,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Southeast Asia,VM
